Team,Rank,Top25,GP,sweet16,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Murray State,22,1,2,No,42.5,76,24.5,58,0.422,7,22.5,0.311,20,30,0.667,12,25,37,15,6.5,4,12,22.5
UConn,,0,1,No,40.2,63,22,51,0.431,7,23,0.304,12,13,0.923,8,17,25,15,5,4,8,17
USC,,0,1,No,40,66,24,50,0.48,9,20,0.45,9,15,0.6,6,32,38,17,1,3,18,16
Boise State,,0,1,No,40,53,17,54,0.315,6,21,0.286,13,19,0.684,12,18,30,7,9,1,10,14
Colorado State,,0,1,No,39.8,63,23,65,0.354,12,35,0.343,5,7,0.714,9,16,25,16,10,0,11,19
Texas,,0,2,No,40,76,27,62.5,0.432,10,23.5,0.426,12,17,0.706,9.5,17,26.5,16.5,7,3,7,25.5
Rutgers,,0,1,No,50,87,36,71,0.507,11,27,0.407,4,6,0.667,13,31,44,22,1,6,13,15
San Francisco,,0,1,No,45,87,32,68,0.471,9,35,0.257,14,22,0.636,9,26,35,10,7,6,9,24
UNC Wilmington,,0,4,No,42.5,86.2,28.8,61,0.471,7.2,19,0.382,21.5,25.5,0.843,8,24,32,11.2,7.2,2,6.2,20.2
UNC Asheville,,0,2,No,40,82,30.5,62,0.492,9.5,20.5,0.463,11.5,16,0.719,9.5,23.5,33,14.5,7,4.5,11.5,16
Bryant,,0,1,No,40,82,31,71,0.437,4,24,0.167,16,23,0.696,12,22,34,7,11,5,13,24
VCU,,0,2,No,40.1,82,28.5,57,0.5,7.5,18.5,0.405,17.5,21.5,0.814,8,24.5,32.5,13.5,8,4.5,13,19.5
Florida Gulf Coast,,0,2,No,40,81.5,30.5,62,0.492,12,33.5,0.358,8.5,13.5,0.63,8.5,27.5,36,14,6.5,2,14,17.5
Wright State,,0,2,No,40,81.5,26.5,65,0.408,9,23,0.391,19.5,25.5,0.765,10,24.5,34.5,16,8,3.5,11,17
Drake,,0,2,No,40,81,33.5,59,0.568,9,20,0.45,5,6,0.833,6,24.5,30.5,16.5,6,2.5,11.5,17.5
Abilene Christian,,0,3,No,40,80.7,25.7,55.3,0.464,8.3,20.7,0.403,21,26.3,0.797,9,22.7,31.7,15.3,9.3,2,13.7,22.7
Brigham Young,,0,3,No,40,80.3,31.7,63.3,0.5,9.7,28.3,0.341,7.3,12,0.611,10,30.3,40.3,20.7,3.7,3.3,11,17.3
Portland,,0,2,No,40,80,27.5,59,0.466,11,26,0.423,14,19.5,0.718,8,23.5,31.5,20,6,4,14.5,15.5
North Carolina,2,1,6,Yes,40.9,80,27.3,65.8,0.415,9.2,27,0.34,16.2,22.2,0.729,15,32.7,47.7,15.5,3.8,4.3,11.7,15
USC Upstate,,0,2,No,40,79.5,26.5,60.5,0.438,9.5,22.5,0.422,17,19,0.895,10.5,22,32.5,14.5,7.5,1,11.5,18.5
Kent State,,0,1,No,40,79,27,61,0.443,10,23,0.435,15,21,0.714,9,22,31,13,6,2,8,19
Detroit-Mercy,,0,1,No,40,79,31,66,0.47,10,25,0.4,7,12,0.583,10,21,31,10,5,2,9,15
Princeton,,0,1,No,40,79,33,68,0.485,9,26,0.346,4,11,0.364,13,22,35,13,4,0,10,13
Fresno State,,0,4,No,40,78.8,28.2,56.5,0.5,9.8,23.8,0.411,12.5,20,0.625,8.2,26,34.2,14.8,8,4.2,10,15.2
Middle Tennessee State,,0,4,No,42.5,78.8,26.2,54,0.486,7.5,21.2,0.353,18.8,25.5,0.735,8.5,26.5,35,12.2,7.5,4.5,10.2,19.8
Oklahoma,,0,2,No,40,78.5,29.5,60.5,0.488,11.5,25.5,0.451,8,9.5,0.842,8.5,25,33.5,17,5.5,4,11.5,12.5
Virginia Military,,0,1,No,40,78,22,55,0.4,11,33,0.333,23,25,0.92,9,27,36,10,6,1,18,17
Tennessee,15,1,2,No,40,78,30.5,61,0.5,8,21,0.381,9,11.5,0.783,8,24.5,32.5,22,10,2.5,9.5,16
Ohio,,0,2,No,40,75.5,25.5,58.5,0.436,5.5,22.5,0.244,19,27.5,0.691,11,21.5,32.5,9.5,7.5,2.5,11,15.5
