PLAYER,TEAM,POSITION,AGE,MP,FG,FGA,FGperc,3P,3PA,3Pperc,2P,2PA,2Pperc,FT,FTA,FTperc,ORB,AST,POINTS,SALARYMILL,FAVORITES
Tyler Zeller,BOS,C,27,10.3,1.5,3.1,0.49,0,0,0,1.5,3.1,0.5,0.4,0.8,0.56,0.8,0.8,3.5,8,15
Trey Lyles,UTAH,PF,21,16.3,2.2,6.2,0.36,0.9,2.9,0.32,1.3,3.3,0.4,0.8,1.1,0.72,0.7,1,6.2,2.34,48
Markieff Morris,WSH,PF,27,31.2,5.3,11.7,0.46,0.9,2.6,0.36,4.4,9.1,0.48,2.4,2.8,0.84,1.4,1.7,14,7.4,9
Sam Dekker,HOU,SF,22,18.4,2.6,5.6,0.47,0.8,2.4,0.32,1.9,3.1,0.59,0.5,0.9,0.56,1.2,1,6.5,1.72,139
Al-Farouq Aminu,POR,SF,26,29.1,3,7.6,0.39,1.1,3.5,0.33,1.9,4.2,0.45,1.6,2.2,0.71,1.3,1.6,8.7,7.68,33
Tobias Harris,DET,PF,24,31.3,6.2,13,0.48,1.3,3.8,0.35,4.9,9.1,0.54,2.3,2.8,0.84,0.8,1.7,16.1,17.2,2
Cameron Payne,CHI/OKC,PG,22,14.9,2.1,6.2,0.33,0.9,2.8,0.31,1.2,3.5,0.35,0.2,0.3,0.63,0.1,1.8,5.2,2.11,38.5
Marcin Gortat,WSH,C,32,31.2,4.8,8.2,0.58,0,0,0,4.8,8.2,0.58,1.3,1.9,0.65,2.9,1.5,10.8,12,1
Corey Brewer,HOU/LAL,SF,30,15.6,1.8,4.2,0.42,0.3,1.4,0.23,1.5,2.8,0.52,0.6,0.8,0.74,0.4,1.2,4.5,7.61,51.5
Darren Collison,SAC,PG,29,30.3,5,10.5,0.48,1.1,2.6,0.42,3.9,7.9,0.5,2.2,2.5,0.86,0.3,4.6,13.2,5.23,4
Derrick Favors,UTAH,PF,25,23.7,4.1,8.3,0.49,0.1,0.2,0.3,4,8.1,0.49,1.3,2.2,0.62,1.8,1.1,9.5,11.05,25
Nick Collison,OKC,PF,36,6.4,0.7,1.2,0.61,0,0.1,0,0.7,1.1,0.64,0.3,0.4,0.63,0.5,0.6,1.7,3.75,10
Marco Belinelli,CHA,SG,30,24,3.6,8.3,0.43,1.4,3.8,0.36,2.2,4.5,0.49,2,2.3,0.89,0.2,2,10.5,6.33,0
Amir Johnson,BOS,PF,29,20.1,2.7,4.6,0.58,0.3,0.8,0.41,2.3,3.8,0.61,0.8,1.3,0.67,1.5,1.8,6.5,12,31.5
